24,67,6,808,4.6,10.4,3.1,7.7,1.5,2.7,1.2,1.5,1,3.4,4.4,2,0.9,1.2,1.4,3.3,13.5,FALSE
28,67,67,2058,4,9.5,1.9,5,2.1,4.5,1.3,1.7,1.7,5.2,6.9,4.9,1.7,0.4,1.7,3.9,11.2,FALSE
24,81,27,1793,3.6,6.8,0,0,3.6,6.8,2.5,4.7,3.2,8.2,11.4,1.5,0.5,1.8,1.9,4.1,9.7,FALSE
28,65,1,1190,4.6,10.8,1.7,5.4,2.9,5.4,1.4,1.8,1.7,5.7,7.4,2.4,1.2,0.6,1.8,4.7,12.2,FALSE
25,67,16,1091,4.9,9.7,0,0.1,4.9,9.6,2.7,3.6,4.8,6.6,11.3,1.3,1,1.5,1.9,5.7,12.6,FALSE
27,66,66,2176,7.4,17.1,1.7,5.1,5.7,12,6.4,7.6,0.9,4.4,5.3,6.9,1.5,0.5,3.7,2.7,23,TRUE
27,81,54,2083,6.5,14.6,2.5,6.8,4,7.8,3.8,4.2,0.6,4.1,4.8,1.9,0.6,0.1,2.3,2.5,19.2,FALSE
27,55,54,1482,6.5,14.8,2.4,6.7,4.1,8.1,3.5,4.1,0.6,4.2,4.8,2.2,0.6,0.1,2.3,2.4,19,FALSE
27,26,0,601,6.4,14,2.7,6.9,3.7,7.1,4.3,4.6,0.8,4,4.8,1.3,0.6,0.2,2.3,2.8,19.8,FALSE
32,27,21,583,2.3,5,0,0.1,2.3,4.9,0.2,0.7,3.5,10,13.5,3,0.8,1.5,2.7,5.3,4.9,FALSE
32,26,21,582,2.4,5,0,0.1,2.4,4.9,0.2,0.7,3.5,10,13.5,3,0.8,1.5,2.7,5.2,4.9,FALSE
32,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,FALSE
23,12,0,53,6.1,10.9,0.7,2.7,5.4,8.2,2,4.1,2.7,8.8,11.5,1.4,0.7,1.4,1.4,0.7,14.9,TRUE
20,78,78,2730,8,18.9,1.9,5.3,6.1,13.5,4.8,5.8,0.6,2.7,3.3,3.5,0.9,0.3,3.2,3.2,22.8,FALSE
29,71,43,1754,6.3,12.1,0.5,1.6,5.7,10.5,1.5,2.3,2.9,8.8,11.7,2.8,1.5,0.6,2.6,3.1,14.6,TRUE
26,55,55,1835,7,15.2,2.1,5.4,4.9,9.8,1.3,1.8,1.3,5.3,6.6,2.4,1.3,0.2,1.7,2.8,17.5,FALSE
30,82,11,1281,4.1,9.8,0.8,3.3,3.4,6.5,1.4,1.9,0.9,3.8,4.7,2.7,1.7,0.6,1.5,3.7,10.4,FALSE
30,58,8,923,3.7,8.9,0.9,3.7,2.8,5.2,1.2,1.7,0.8,3.6,4.4,2.4,1.4,0.5,1.4,4.1,9.4,FALSE
30,24,3,358,5.3,12.2,0.5,2.4,4.8,9.8,1.8,2.4,1.1,4.1,5.2,3.6,2.4,0.8,1.9,2.9,13,FALSE
24,75,28,1982,5.3,11.5,1.4,3.5,3.9,8,2,2.3,0.9,3,3.9,5.8,1.5,0.2,2.1,2.5,13.9,FALSE
32,65,0,894,4.9,12.1,1.9,5.2,2.9,6.9,1.3,1.6,0.7,2.1,2.8,5,1,0.4,2.7,3.7,13,FALSE
24,11,0,159,4.1,11.3,1.6,6.1,2.5,5.2,0,0,1.8,5.7,7.5,1.8,1.1,0.2,1.4,3.4,9.7,FALSE
24,9,0,143,3.5,10.3,1.5,6,2,4.3,0,0,1.5,5,6.5,1.5,1.3,0.3,1.3,3.3,8.6,FALSE
24,2,0,16,9,20.3,2.3,6.8,6.8,13.5,0,0,4.5,11.3,15.8,4.5,0,0,2.3,4.5,20.3,TRUE
32,25,0,123,6.7,17.6,4.1,10.2,2.6,7.3,0.6,0.6,0,1.8,1.8,4.1,0.3,0,1.5,1.5,18.1,FALSE
20,78,20,1341,5.2,11.4,1.2,3.6,3.9,7.7,2.3,3.3,1.2,4.7,5.9,1.7,0.9,0.5,1.8,3.8,13.8,FALSE
23,54,2,521,3.6,9.7,2,6.6,1.6,3.2,1.2,1.5,1.8,4.8,6.6,3.2,1.2,0.6,1.8,3,10.4,FALSE
25,31,5,467,4.2,9.9,2.2,5.6,2,4.2,0.4,0.5,1,3.9,4.9,2.2,1.4,0.2,0.8,1.7,10.9,FALSE
24,57,0,703,5.9,13.1,1.6,3.6,4.4,9.5,1.1,1.5,0.4,2,2.4,5.1,0.6,0.3,2.5,2.8,14.6,FALSE
25,42,0,653,5.5,13.7,1.4,4.2,4.1,9.5,3.3,4.3,0.9,5.7,6.6,1.7,1,0.3,1.9,2.8,15.6,FALSE
27,76,75,2809,7.3,16,1.2,3.2,6.1,12.9,7.5,8.7,1.7,4.4,6,5.3,1.8,0.4,2,1.4,23.3,TRUE
21,9,0,40,5.4,14.4,1.8,5.4,3.6,9,0,0,4.5,4.5,9,3.6,1.8,0.9,1.8,3.6,12.6,FALSE
35,41,13,539,3.7,8.9,1.3,4.3,2.3,4.7,0.7,0.8,1,3.9,4.9,5.9,0.7,0.1,2.7,2.4,9.4,FALSE
35,24,11,292,3.9,9.5,1.5,4.2,2.5,5.3,0.5,0.5,1,4.2,5.2,6.3,0.9,0.1,3.2,2.7,9.9,FALSE
35,17,2,247,3.4,8.3,1.2,4.4,2.2,3.9,1,1.2,1,3.6,4.7,5.4,0.6,0,2.2,2,8.9,FALSE
23,76,75,2529,5.3,13.2,2.2,6.2,3.1,7,2.2,2.6,0.8,2.7,3.5,2.7,1.3,0.2,1.2,1.7,14.9,FALSE
25,39,0,592,3.8,10.5,1.5,5.7,2.3,4.8,1.8,2,0.4,2.7,3,2.3,1.3,0.1,1.3,2.1,11,FALSE
22,65,59,1551,8.4,13.1,0,0,8.4,13.1,2.2,4.1,4.1,8.1,12.2,1.5,0.8,1.8,2,4.2,19,TRUE
30,72,72,1882,4.2,10.5,2.1,6.1,2.1,4.4,1.7,2.2,1.2,4.1,5.3,1.4,1.5,0.5,1,2.7,12.2,FALSE
40,73,15,1799,3.9,9.8,2.2,5.9,1.6,3.9,1.8,2.3,0.7,3.8,4.5,2.7,1.2,0.7,1,3.3,11.7,FALSE
25,45,19,846,4.8,13,0.6,2.7,4.1,10.3,2.5,3.3,1,5.5,6.5,4.8,1.6,1,2.8,4.3,12.6,FALSE
28,36,2,643,4.3,9.2,0.8,2.4,3.5,6.8,1,1.6,1.5,4.8,6.3,2.1,1.3,0.2,1.6,2.8,10.4,FALSE
